solucion,job,operacion,maquina_asignada,costo,tiempo
11,4,1,6,16.00,81.00
11,4,2,6,15.00,62.00
11,4,3,3,21.00,18.00
11,4,4,2,27.00,17.00
11,4,5,2,9.00,162.00
11,4,6,5,13.00,135.00
11,5,1,2,22.00,24.00
11,5,2,4,18.00,32.00
11,5,3,2,18.00,18.00
11,5,4,3,7.00,122.00
11,5,5,3,18.00,169.00
11,5,6,4,5.00,135.00
11,6,1,2,13.00,82.00
11,6,2,5,5.00,12.00
11,6,3,4,19.00,103.00
11,6,4,2,18.00,52.00
11,6,5,6,17.00,63.00
11,6,6,4,32.00,87.00
11,7,1,3,12.00,18.00
11,7,2,1,11.00,25.00
11,7,3,1,11.00,40.00
11,7,4,5,5.00,68.00
11,7,5,2,5.00,47.00
11,7,6,4,15.00,50.00
11,8,1,2,6.00,127.00
11,8,2,4,14.00,97.00
11,8,3,4,7.00,17.00
11,8,4,2,16.00,148.00
11,8,5,2,8.00,65.00
11,8,6,6,23.00,58.00
11,9,1,1,10.00,125.00
11,9,2,3,19.00,24.00
11,9,3,5,19.00,65.00
11,9,4,3,17.00,53.00
11,9,5,4,19.00,10.00
11,9,6,6,7.00,53.00
11,10,1,2,14.00,130.00
11,10,2,5,8.00,34.00
11,10,3,5,10.00,28.00
11,10,4,6,18.00,41.00
11,10,5,3,9.00,124.00
11,10,6,5,16.00,25.00
12,1,1,1,5.00,75.00
12,1,2,5,22.00,57.00
12,1,3,6,13.00,23.00
12,1,4,1,36.00,23.00
12,1,5,4,6.00,59.00
12,1,6,1,5.00,90.00
12,2,1,3,13.00,16.00
12,2,2,2,22.00,36.00
12,2,3,6,14.00,64.00
12,2,4,4,7.00,22.00
12,2,5,6,7.00,40.00
12,2,6,1,23.00,19.00
12,3,1,4,20.00,28.00
12,3,2,5,9.00,93.00
12,3,3,1,12.00,47.00
12,3,4,5,5.00,60.00
12,3,5,3,23.00,21.00
12,3,6,3,15.00,58.00
12,4,1,6,16.00,81.00
12,4,2,4,23.00,13.00
12,4,3,3,21.00,18.00
12,4,4,2,27.00,17.00
12,4,5,6,29.00,47.00
12,4,6,2,27.00,58.00
12,5,1,2,22.00,24.00
12,5,2,4,18.00,32.00
12,5,3,2,18.00,18.00
12,5,4,6,14.00,77.00
12,5,5,2,31.00,71.00
12,5,6,4,5.00,135.00
12,6,1,2,13.00,82.00
12,6,2,5,5.00,12.00
12,6,3,3,28.00,22.00
12,6,4,2,18.00,52.00
12,6,5,6,17.00,63.00
12,6,6,4,32.00,87.00
12,7,1,3,12.00,18.00
12,7,2,1,11.00,25.00
12,7,3,6,16.00,18.00
12,7,4,3,10.00,38.00
12,7,5,2,5.00,47.00
12,7,6,4,15.00,50.00
12,8,1,2,6.00,127.00
12,8,2,4,14.00,97.00
12,8,3,4,7.00,17.00
12,8,4,4,37.00,35.00
12,8,5,2,8.00,65.00
12,8,6,6,23.00,58.00
