# FRENTE DE PARETO - 512 soluciones optimas
# Instancia: instancia_intermedia
# Dimensiones: 10 Jobs, 6 Maquinas, 6 Operaciones
# seed=0.640000 popsize=1000 ngen=4000
# exec_time_sec=70.290
solucion,costo_total,tiempo_total,crowding_distance
455,1387.00,2215.00,0.004084
456,1073.00,2686.00,0.002438
457,1100.00,2632.00,0.004705
458,806.00,3998.00,0.002860
459,1481.00,2169.00,0.007238
460,747.00,4564.00,0.005341
461,1162.00,2518.00,0.002817
462,1146.00,2548.00,0.002930
463,1439.00,2181.00,0.006239
464,856.00,3592.00,0.004213
465,785.00,4185.00,0.005918
466,1073.00,2686.00,0.000887
467,1088.00,2654.00,0.005945
468,1166.00,2512.00,0.002775
469,1116.00,2606.00,0.003817
470,881.00,3435.00,0.004213
471,1235.00,2394.00,0.003395
472,1203.00,2446.00,0.002662
473,720.00,4911.00,0.007511
474,1443.00,2179.00,0.006239
475,1026.00,2811.00,0.001465
476,1067.00,2702.00,0.001465
477,789.00,4154.00,0.004100
478,760.00,4421.00,0.006228
479,707.00,5348.00,0.022705
480,1449.00,2178.00,0.005084
481,1560.00,2154.00,0.007238
482,1451.00,2176.00,0.005084
483,1259.00,2357.00,0.004705
484,1267.00,2345.00,0.005282
485,710.00,5122.00,0.017434
486,1057.00,2734.00,0.000887
487,1202.00,2451.00,0.003395
488,758.00,4441.00,0.003790
489,810.00,3971.00,0.001508
490,799.00,4058.00,0.006271
491,884.00,3419.00,0.003325
492,714.00,5027.00,0.008442
493,960.00,3000.00,0.005833
494,851.00,3626.00,0.007693
495,1310.00,2288.00,0.003282
496,1242.00,2386.00,0.004437
497,730.00,4755.00,0.006228
498,802.00,4029.00,0.005918
499,725.00,4845.00,0.006073
500,732.00,4741.00,0.005298
501,1289.00,2313.00,0.004705
502,890.00,3379.00,0.004213
503,903.00,3308.00,0.001353
504,955.00,3022.00,0.005833
505,951.00,3047.00,0.004678
506,982.00,2937.00,0.004592
507,840.00,3709.00,0.004100
508,835.00,3740.00,0.004945
509,1333.00,2264.00,0.003929
510,845.00,3679.00,0.007003
511,1354.00,2239.00,0.006479
512,1457.00,2175.00,0.007238
