solucion,job,operacion,maquina_asignada,costo,tiempo
47,2,2,3,20.00,94.00
47,2,3,3,12.00,53.00
47,3,1,1,5.00,155.00
47,3,2,3,21.00,28.00
47,3,3,3,8.00,178.00
47,4,1,1,16.00,30.00
47,4,2,2,16.00,161.00
47,4,3,1,15.00,16.00
48,1,1,1,29.00,119.00
48,1,2,2,30.00,70.00
48,1,3,1,9.00,97.00
48,2,1,1,18.00,95.00
48,2,2,3,20.00,94.00
48,2,3,3,12.00,53.00
48,3,1,1,5.00,155.00
48,3,2,3,21.00,28.00
48,3,3,2,40.00,78.00
48,4,1,2,9.00,39.00
48,4,2,2,16.00,161.00
48,4,3,1,15.00,16.00
49,1,1,1,29.00,119.00
49,1,2,2,30.00,70.00
49,1,3,1,9.00,97.00
49,2,1,1,18.00,95.00
49,2,2,3,20.00,94.00
49,2,3,1,33.00,13.00
49,3,1,1,5.00,155.00
49,3,2,3,21.00,28.00
49,3,3,1,28.00,90.00
49,4,1,2,9.00,39.00
49,4,2,1,50.00,45.00
49,4,3,1,15.00,16.00
50,1,1,1,29.00,119.00
50,1,2,2,30.00,70.00
50,1,3,3,32.00,44.00
50,2,1,1,18.00,95.00
50,2,2,3,20.00,94.00
50,2,3,1,33.00,13.00
50,3,1,1,5.00,155.00
50,3,2,3,21.00,28.00
50,3,3,2,40.00,78.00
50,4,1,1,16.00,30.00
50,4,2,1,50.00,45.00
50,4,3,1,15.00,16.00
51,1,1,1,29.00,119.00
51,1,2,2,30.00,70.00
51,1,3,1,9.00,97.00
51,2,1,1,18.00,95.00
51,2,2,3,20.00,94.00
51,2,3,3,12.00,53.00
51,3,1,1,5.00,155.00
51,3,2,3,21.00,28.00
51,3,3,1,28.00,90.00
51,4,1,2,9.00,39.00
51,4,2,1,50.00,45.00
51,4,3,1,15.00,16.00
52,1,1,1,29.00,119.00
52,1,2,2,30.00,70.00
52,1,3,3,32.00,44.00
52,2,1,1,18.00,95.00
52,2,2,3,20.00,94.00
52,2,3,1,33.00,13.00
52,3,1,1,5.00,155.00
52,3,2,1,43.00,14.00
52,3,3,2,40.00,78.00
52,4,1,2,9.00,39.00
52,4,2,1,50.00,45.00
52,4,3,1,15.00,16.00
53,1,1,1,29.00,119.00
53,1,2,2,30.00,70.00
53,1,3,1,9.00,97.00
53,2,1,1,18.00,95.00
53,2,2,3,20.00,94.00
53,2,3,3,12.00,53.00
53,3,1,1,5.00,155.00
53,3,2,3,21.00,28.00
53,3,3,1,28.00,90.00
53,4,1,2,9.00,39.00
53,4,2,1,50.00,45.00
53,4,3,1,15.00,16.00
54,1,1,1,29.00,119.00
54,1,2,2,30.00,70.00
54,1,3,3,32.00,44.00
54,2,1,1,18.00,95.00
54,2,2,3,20.00,94.00
54,2,3,3,12.00,53.00
54,3,1,1,5.00,155.00
54,3,2,3,21.00,28.00
54,3,3,2,40.00,78.00
54,4,1,2,9.00,39.00
54,4,2,1,50.00,45.00
54,4,3,1,15.00,16.00
55,1,1,1,29.00,119.00
55,1,2,2,30.00,70.00
55,1,3,3,32.00,44.00
55,2,1,1,18.00,95.00
55,2,2,3,20.00,94.00
55,2,3,1,33.00,13.00
55,3,1,1,5.00,155.00
55,3,2,1,43.00,14.00
55,3,3,2,40.00,78.00
55,4,1,2,9.00,39.00
55,4,2,1,50.00,45.00
55,4,3,1,15.00,16.00
56,1,1,2,20.00,173.00
56,1,2,2,30.00,70.00
56,1,3,1,9.00,97.00
56,2,1,1,18.00,95.00
56,2,2,3,20.00,94.00
56,2,3,3,12.00,53.00
56,3,1,1,5.00,155.00
56,3,2,3,21.00,28.00
56,3,3,3,8.00,178.00
56,4,1,2,9.00,39.00
56,4,2,2,16.00,161.00
56,4,3,1,15.00,16.00
57,1,1,1,29.00,119.00
57,1,2,2,30.00,70.00
57,1,3,3,32.00,44.00
57,2,1,1,18.00,95.00
57,2,2,3,20.00,94.00
57,2,3,1,33.00,13.00
57,3,1,1,5.00,155.00
57,3,2,3,21.00,28.00
57,3,3,2,40.00,78.00
57,4,1,1,16.00,30.00
57,4,2,1,50.00,45.00
57,4,3,1,15.00,16.00
58,1,1,1,29.00,119.00
58,1,2,2,30.00,70.00
58,1,3,1,9.00,97.00
58,2,1,1,18.00,95.00
58,2,2,3,20.00,94.00
58,2,3,3,12.00,53.00
58,3,1,1,5.00,155.00
58,3,2,3,21.00,28.00
58,3,3,1,28.00,90.00
58,4,1,2,9.00,39.00
58,4,2,1,50.00,45.00
58,4,3,1,15.00,16.00
59,1,1,1,29.00,119.00
59,1,2,2,30.00,70.00
59,1,3,3,32.00,44.00
59,2,1,1,18.00,95.00
59,2,2,3,20.00,94.00
59,2,3,1,33.00,13.00
59,3,1,1,5.00,155.00
59,3,2,3,21.00,28.00
59,3,3,2,40.00,78.00
59,4,1,2,9.00,39.00
59,4,2,1,50.00,45.00
59,4,3,1,15.00,16.00
60,1,1,1,29.00,119.00
60,1,2,2,30.00,70.00
60,1,3,3,32.00,44.00
60,2,1,1,18.00,95.00
60,2,2,3,20.00,94.00
60,2,3,3,12.00,53.00
60,3,1,1,5.00,155.00
60,3,2,3,21.00,28.00
