Seed,Popsize,Ngen,Pcross,Pmut,Cost,Time,CrowdingDistance
0.920000,1000,4000,0.9,0.01,22295.00,147394.00,0.006325
0.920000,1000,4000,0.9,0.01,16801.00,233374.00,0.016482
0.920000,1000,4000,0.9,0.01,25002.00,95129.00,0.021446
0.920000,1000,4000,0.9,0.01,20878.00,163247.00,0.006063
0.920000,1000,4000,0.9,0.01,23767.00,123198.00,0.026243
0.920000,1000,4000,0.9,0.01,17572.00,219565.00,0.011842
0.920000,1000,4000,0.9,0.01,30975.00,73681.00,0.006304
0.920000,1000,4000,0.9,0.01,24160.00,115200.00,0.010659
0.920000,1000,4000,0.9,0.01,35108.00,69630.00,0.005586
0.920000,1000,4000,0.9,0.01,34983.00,69810.00,0.020504
0.920000,1000,4000,0.9,0.01,17195.00,226235.00,0.007422
0.920000,1000,4000,0.9,0.01,17431.00,222290.00,0.016676
0.920000,1000,4000,0.9,0.01,32961.00,71481.00,0.019253
0.920000,1000,4000,0.9,0.01,22388.00,141506.00,0.007654
0.920000,1000,4000,0.9,0.01,20677.00,172089.00,0.011703
0.920000,1000,4000,0.9,0.01,20432.00,173634.00,0.004881
0.920000,1000,4000,0.9,0.01,18967.00,199964.00,0.010955
0.920000,1000,4000,0.9,0.01,25351.00,92649.00,0.010329
0.920000,1000,4000,0.9,0.01,20458.00,172601.00,0.005939
0.920000,1000,4000,0.9,0.01,23330.00,124651.00,0.011433
0.920000,1000,4000,0.9,0.01,67421.00,40754.00,0.004237
0.920000,1000,4000,0.9,0.01,61489.00,46938.00,0.006218
0.920000,1000,4000,0.9,0.01,17020.00,227643.00,0.013634
0.920000,1000,4000,0.9,0.01,61948.00,46660.00,0.005896
0.920000,1000,4000,0.9,0.01,18636.00,203066.00,0.018383
0.920000,1000,4000,0.9,0.01,64740.00,44206.00,0.009898
0.920000,1000,4000,0.9,0.01,52985.00,54540.00,0.011280
0.920000,1000,4000,0.9,0.01,21521.00,156096.00,0.002818
0.920000,1000,4000,0.9,0.01,16779.00,237451.00,0.010435
0.920000,1000,4000,0.9,0.01,66607.00,42410.00,0.007489
0.920000,1000,4000,0.9,0.01,21975.00,152067.00,0.004178
0.920000,1000,4000,0.9,0.01,19483.00,191260.00,0.004771
0.920000,1000,4000,0.9,0.01,31406.00,72786.00,0.005791
0.920000,1000,4000,0.9,0.01,15756.00,249048.00,0.009379
0.920000,1000,4000,0.9,0.01,55820.00,52361.00,0.003218
0.920000,1000,4000,0.9,0.01,50106.00,57714.00,0.011041
0.920000,1000,4000,0.9,0.01,22576.00,140675.00,0.016464
0.920000,1000,4000,0.9,0.01,24594.00,107857.00,0.011227
0.920000,1000,4000,0.9,0.01,16001.00,245207.00,0.021351
0.920000,1000,4000,0.9,0.01,23252.00,125995.00,0.012043
0.920000,1000,4000,0.9,0.01,21917.00,153158.00,0.005857
0.920000,1000,4000,0.9,0.01,42056.00,63873.00,0.008124
0.920000,1000,4000,0.9,0.01,19613.00,190254.00,0.006469
0.920000,1000,4000,0.9,0.01,53716.00,53760.00,0.017282
0.920000,1000,4000,0.9,0.01,18399.00,210648.00,0.012135
0.920000,1000,4000,0.9,0.01,25567.00,84035.00,0.006768
0.920000,1000,4000,0.9,0.01,46992.00,58620.00,0.012542
0.920000,1000,4000,0.9,0.01,30401.00,73985.00,0.047293
0.920000,1000,4000,0.9,0.01,65145.00,43176.00,0.009374
0.920000,1000,4000,0.9,0.01,21827.00,153974.00,0.005694
0.920000,1000,4000,0.9,0.01,22868.00,135301.00,0.016742
0.920000,1000,4000,0.9,0.01,15495.00,252307.00,0.015407
0.920000,1000,4000,0.9,0.01,48823.00,58361.00,0.018386
0.920000,1000,4000,0.9,0.01,23191.00,129248.00,0.011196
0.920000,1000,4000,0.9,0.01,22040.00,151869.00,0.007187
0.920000,1000,4000,0.9,0.01,44349.00,62176.00,0.014916
0.920000,1000,4000,0.9,0.01,43872.00,62369.00,0.010337
0.920000,1000,4000,0.9,0.01,16630.00,238681.00,0.008609
0.920000,1000,4000,0.9,0.01,24633.00,105315.00,0.008033
0.920000,1000,4000,0.9,0.01,51413.00,55305.00,0.010873
0.920000,1000,4000,0.9,0.01,21763.00,155442.00,0.003181
0.920000,1000,4000,0.9,0.01,23173.00,126396.00,0.016360
0.920000,1000,4000,0.9,0.01,21305.00,158935.00,0.021568
0.920000,1000,4000,0.9,0.01,17425.00,223532.00,0.008978
0.920000,1000,4000,0.9,0.01,21981.00,150644.00,0.019215
0.330000,1000,4000,0.9,0.01,24095.00,117268.00,0.014021
0.330000,1000,4000,0.9,0.01,65431.00,43272.00,0.017302
0.330000,1000,4000,0.9,0.01,57900.00,49898.00,0.014277
0.330000,1000,4000,0.9,0.01,21152.00,161909.00,0.013824
0.330000,1000,4000,0.9,0.01,40988.00,64505.00,0.019696
0.330000,1000,4000,0.9,0.01,16234.00,246711.00,0.006070
0.330000,1000,4000,0.9,0.01,25401.00,90539.00,0.012297
0.330000,1000,4000,0.9,0.01,25554.00,89621.00,0.007508
0.330000,1000,4000,0.9,0.01,22388.00,139427.00,0.017279
0.330000,1000,4000,0.9,0.01,23379.00,126964.00,0.020901
0.330000,1000,4000,0.9,0.01,64368.00,43515.00,0.012251
0.330000,1000,4000,0.9,0.01,36129.00,69114.00,0.004592
0.330000,1000,4000,0.9,0.01,44730.00,61871.00,0.023293
0.330000,1000,4000,0.9,0.01,67397.00,41010.00,0.007872
0.330000,1000,4000,0.9,0.01,45280.00,60273.00,0.019532
0.330000,1000,4000,0.9,0.01,19259.00,194229.00,0.016275
0.330000,1000,4000,0.9,0.01,17496.00,224916.00,0.022595
0.330000,1000,4000,0.9,0.01,46529.00,59793.00,0.018323
0.330000,1000,4000,0.9,0.01,16054.00,248504.00,0.005808
0.330000,1000,4000,0.9,0.01,20955.00,165964.00,0.015029
0.330000,1000,4000,0.9,0.01,51700.00,55930.00,0.013834
0.330000,1000,4000,0.9,0.01,20563.00,174610.00,0.012845
0.330000,1000,4000,0.9,0.01,23044.00,135277.00,0.011761
0.330000,1000,4000,0.9,0.01,18368.00,210522.00,0.010356
0.330000,1000,4000,0.9,0.01,34852.00,69966.00,0.004365
0.330000,1000,4000,0.9,0.01,33984.00,70190.00,0.016048
0.330000,1000,4000,0.9,0.01,17184.00,227738.00,0.010862
0.330000,1000,4000,0.9,0.01,36231.00,68942.00,0.006024
0.330000,1000,4000,0.9,0.01,40100.00,64747.00,0.015260
0.330000,1000,4000,0.9,0.01,24312.00,112596.00,0.009907
0.330000,1000,4000,0.9,0.01,22214.00,148619.00,0.013396
0.330000,1000,4000,0.9,0.01,53099.00,55023.00,0.002512
0.330000,1000,4000,0.9,0.01,61857.00,46413.00,0.017834
0.330000,1000,4000,0.9,0.01,66655.00,42106.00,0.009378
0.330000,1000,4000,0.9,0.01,18551.00,208440.00,0.006535
0.330000,1000,4000,0.9,0.01,62448.00,46283.00,0.012386
0.330000,1000,4000,0.9,0.01,52937.00,55755.00,0.013886
0.330000,1000,4000,0.9,0.01,18616.00,206642.00,0.014506
0.330000,1000,4000,0.9,0.01,19254.00,199592.00,0.013297
0.330000,1000,4000,0.9,0.01,38587.00,66811.00,0.020154
0.330000,1000,4000,0.9,0.01,66134.00,42654.00,0.003899
0.330000,1000,4000,0.9,0.01,29766.00,73314.00,0.013418
0.330000,1000,4000,0.9,0.01,18974.00,201689.00,0.011886
0.330000,1000,4000,0.9,0.01,20172.00,180696.00,0.012875
0.330000,1000,4000,0.9,0.01,17081.00,232860.00,0.010492
0.330000,1000,4000,0.9,0.01,42054.00,64290.00,0.020396
0.330000,1000,4000,0.9,0.01,54422.00,53828.00,0.011758
0.330000,1000,4000,0.9,0.01,24424.00,106884.00,0.011032
0.330000,1000,4000,0.9,0.01,22118.00,150426.00,0.014131
0.330000,1000,4000,0.9,0.01,17375.00,226841.00,0.009516
0.330000,1000,4000,0.9,0.01,28653.00,73683.00,0.033770
0.330000,1000,4000,0.9,0.01,39816.00,66266.00,0.019214
0.330000,1000,4000,0.9,0.01,53021.00,55375.00,0.003242
0.330000,1000,4000,0.9,0.01,16210.00,247081.00,0.003290
0.330000,1000,4000,0.9,0.01,16692.00,235746.00,0.013218
0.330000,1000,4000,0.9,0.01,16235.00,244565.00,0.016970
0.330000,1000,4000,0.9,0.01,49305.00,57636.00,0.018609
0.330000,1000,4000,0.9,0.01,53143.00,54793.00,0.007156
0.330000,1000,4000,0.9,0.01,18028.00,211510.00,0.017783
0.330000,1000,4000,0.9,0.01,15771.00,248731.00,0.010177
0.330000,1000,4000,0.9,0.01,19614.00,191231.00,0.020068
0.330000,1000,4000,0.9,0.01,59526.00,48133.00,0.031057
0.330000,1000,4000,0.9,0.01,22307.00,144435.00,0.014672
0.330000,1000,4000,0.9,0.01,24599.00,104441.00,0.011636
0.330000,1000,4000,0.9,0.01,16083.00,247509.00,0.004786
0.330000,1000,4000,0.9,0.01,17698.00,218421.00,0.023894
